Gene	CRE1	CRE2	CRE3	CRE4	FLOX1A	FLOX1	FLOX2A	FLOX2	FLOX3	FLOX4A
Foxn3	52.66107366	58.07458794	60.53040979	59.33231208	81.71132338	41.6874529	86.33093581	62.24827152	57.18997301	76.96596872
Foxo1	22.6799359	24.46148927	22.33918427	21.73690949	23.89619851	17.01784687	27.7596434	18.46298595	21.16420586	22.11110247
Foxo3	72.53143315	75.99648967	114.8419419	92.76934937	65.46262815	80.6361614	70.39052434	92.39114436	94.3345528	87.28793537
Foxo4	22.6799359	22.19265278	28.77755179	30.58288657	26.99118808	18.98305278	24.97979115	22.7119497	25.30381264	25.75313418
Foxp1	110.3682944	124.3856243	93.01490046	117.5116229	88.33316152	75.7022402	101.3965686	76.08122075	86.46557054	78.9509623
Foxp2	0.499069494	0.190658529	0.121938779	0.283524906	0.395870758	0.209064458	0.758141521	0.342965683	1.118812644	1.018388014
Foxp3	0.314228941	0.285987794	0.121938779	0.075606642	0.485841385	0.020906446	0.855339152	0.152429193	0.037293755	1.881428704
Foxp4	19.44522622	21.27749184	17.41285761	17.99438073	31.3277723	20.96916512	31.95858106	27.89454224	26.36668465	34.72875736
Foxq1	0.036968111	0.228790235	0.048775512	0.075606642	0.089970627	0	0.116637157	0.095268245	0.149175019	0.103564883
Foxr1	0	0.038131706	0	0	0.107964752	0.020906446	0.077758105	0	0	0.017260814
Foxr2	0.55452166	0.419448764	0.536530627	0.189016604	2.267259799	0.815351386	1.78843641	1.44807733	2.703797224	3.538466828
Foxred1	26.96823674	26.67312821	22.53428632	22.22835266	28.64664761	22.64168079	29.4703217	30.50489217	27.13120663	29.82668624
Foxred2	8.428729235	8.503370395	8.828367584	8.770370438	7.503550286	10.97588404	9.875279305	9.450609941	8.670797994	10.14935851
Fpgs	7.929659741	6.348929017	7.706530819	7.031417678	10.58054573	12.52296103	12.20802245	13.3947153	9.715023129	8.285190622
Fpgt	12.47673735	11.85896051	10.87693907	9.583141836	5.272278738	9.763310183	6.240087907	10.57477524	8.838619891	10.78800862
Fpr1	7.541494579	6.253599752	29.97255182	22.28505764	21.57495634	4.850295423	26.41831609	8.44076654	21.8727872	14.65443091
Fpr2	7.800271353	9.780782539	41.26408274	41.96168615	61.19802044	8.571642773	68.31049503	11.16543836	31.90480724	45.25785377
Fpr3	0	0	0.048775512	0	0	0	0	0	0	0
Fra10ac1	14.15878639	12.88851656	11.31591867	11.09527467	10.47258097	20.80191356	10.82781609	16.06222617	15.1039707	10.97787757
Fras1	0.221808664	0.095329265	0.024387756	0.075606642	0.089970627	0.020906446	0.038879052	0.019053649	0	0.069043255
Frat1	2.125666364	2.669219406	5.121428709	3.610217141	5.398237616	1.400731868	4.879321074	2.019686802	3.431025443	3.072424856
Frat2	7.726335132	8.884687453	10.90132682	10.13128999	9.698833583	8.676175002	11.09996945	6.078114055	10.0693138	11.46118036
Frem2	0.110904332	0.190658529	0.097551023	0.245721586	0.143953003	0.167251566	0.038879052	0.038107298	0.055940632	0.069043255
Frem3	0	0	0.024387756	0.01890166	0	0	0	0	0.07458751	0
Frg1	43.9550836	51.02022237	40.43489904	50.7698599	61.25200281	54.37766549	60.39860787	37.59284962	39.94161141	47.55354201
Frg2f1	1.238431708	0.953292645	1.585204124	1.020689663	1.691447786	0.878070723	0.777581048	1.009843401	0.93234387	0.845779876
Frk	0.55452166	0.209724382	0.121938779	0.302426567	0.269911881	0.459941807	0.719262469	0.571609472	0.149175019	0.724954179
Frmd3	0	0.400382911	0.097551023	0.01890166	0.341888382	0.104532229	0.15551621	0.20959014	0.372937548	0.13808651
Frmd4a	63.38182576	63.43209261	47.16591963	57.23422777	32.38942569	54.00134947	31.8419439	66.97357649	59.81918272	53.76743498
Frmd4b	215.450149	199.9817311	155.1061266	168.8485326	30.46405428	139.6550579	32.61952495	190.5174371	134.6863955	51.83422383
Frmd5	0.221808664	0.13346097	0.292653069	0.189016604	0.341888382	0.250877349	0.797020574	0.133375544	0.07458751	0.172608138
Frmd6	13.90000962	12.831319	16.36418411	12.09706267	5.074343359	14.80176362	4.723804864	22.73100335	16.85677718	13.60152127
Frmd7	0.110904332	0	0.097551023	0.151213283	0.053982376	0	0	0.019053649	0	0.120825697
Frmd8	63.38182576	56.28239777	46.84887881	47.0462328	73.5060022	54.1058817	74.6672201	55.33179691	51.01785659	62.24249455
Frmpd3	0.166356498	0.171592676	0.024387756	0.415836529	0.251917755	0.250877349	0.641504364	0.266751087	0.186468774	0.189868952
Frmpd4	0.628457882	0.648238999	0.829183696	0.642656454	1.151624025	0.313596687	1.108052993	0.438233929	0.708581341	0.845779876
Frrs1	66.24685434	64.53791208	72.55357338	81.61736972	77.8965688	66.16890092	75.36704304	83.45498294	70.61572474	67.9385631
